City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Qaqortoq,GL,2022-11-20 12:36:57,60.7167,-46.0333,19.89,85,100,3.53
124,Chapais,CA,2022-11-20 12:36:57,49.7834,-74.8492,19.18,95,100,4.45
125,Beringovskiy,RU,2022-11-20 12:29:50,63.05,179.3167,2.35,82,99,22.95
126,Tiksi,RU,2022-11-20 12:29:44,71.6872,128.8694,-11.9,99,99,5.01
127,Colares,PT,2022-11-20 12:36:58,38.7992,-9.4469,66.78,83,20,10.0
128,Hofn,IS,2022-11-20 12:36:58,64.2539,-15.2082,45.3,84,100,10.09
129,Lebu,CL,2022-11-20 12:33:27,-37.6167,-73.65,55.02,47,0,22.95
130,Muhos,FI,2022-11-20 12:36:59,64.808,25.9931,16.9,95,6,3.29
131,Caravelas,BR,2022-11-20 12:32:27,-17.7125,-39.2481,77.47,80,100,5.61
132,Taltal,CL,2022-11-20 12:36:59,-25.4,-70.4833,64.2,76,22,3.56
133,Aykhal,RU,2022-11-20 12:33:51,66.0,111.5,-16.28,99,100,4.65
134,Santa Isabel,BR,2022-11-20 12:37:39,-23.3156,-46.2214,70.56,54,0,4.12
135,Jega,NG,2022-11-20 12:37:59,12.2175,4.3792,94.44,12,100,12.68
136,Kushima,JP,2022-11-20 12:38:00,31.4583,131.2333,61.34,92,11,5.48
137,Kaoma,ZM,2022-11-20 12:38:00,-14.7833,24.8,95.36,15,0,6.73
138,Catamarca,AR,2022-11-20 12:38:00,-28.4696,-65.7852,78.4,44,79,5.61
139,Iguape,BR,2022-11-20 12:38:01,-24.7081,-47.5553,75.79,68,27,4.56
140,Kodiak,US,2022-11-20 12:38:01,57.79,-152.4072,38.71,93,100,12.66
141,Marsh Harbour,BS,2022-11-20 12:38:01,26.5412,-77.0636,77.09,80,28,17.02
142,Harper,LR,2022-11-20 12:38:02,4.375,-7.7169,81.27,75,100,6.4
143,Port-Cartier,CA,2022-11-20 12:30:58,50.0334,-66.8654,22.68,88,100,13.09
144,Kahului,US,2022-11-20 12:38:03,20.8947,-156.47,76.84,82,0,8.99
145,Pevek,RU,2022-11-20 12:38:03,69.7008,170.3133,-22.43,98,100,9.17
146,Klaksvik,FO,2022-11-20 12:38:04,62.2266,-6.589,45.52,86,100,26.71
147,Gizo,SB,2022-11-20 12:38:04,-8.103,156.8419,82.96,71,38,11.72
148,Wanaka,NZ,2022-11-20 12:38:05,-44.7,169.15,55.11,90,41,1.99
149,Lagoa,PT,2022-11-20 12:38:05,39.05,-27.9833,64.24,91,100,26.93
150,Akdepe,TM,2022-11-20 12:38:05,42.0551,59.3788,59.09,47,0,3.4
151,Tuatapere,NZ,2022-11-20 12:38:06,-46.1333,167.6833,53.1,97,66,3.06
152,Ewa Beach,US,2022-11-20 12:38:06,21.3156,-158.0072,78.75,73,0,11.5
153,Sao Gabriel Da Cachoeira,BR,2022-11-20 12:38:06,-0.1303,-67.0892,78.6,94,40,2.3
154,Ribeira Grande,PT,2022-11-20 12:38:07,38.5167,-28.7,68.4,88,75,16.11
155,Pangody,RU,2022-11-20 12:32:30,65.85,74.4859,-17.39,99,100,6.02
156,Dubuque,US,2022-11-20 12:38:07,42.4833,-90.8668,13.5,70,0,4.61
157,Deogarh,IN,2022-11-20 12:38:08,21.5333,84.7333,66.83,51,9,3.2
158,Cayenne,GF,2022-11-20 12:37:48,4.9333,-52.3333,82.44,83,75,9.22
159,Beloha,MG,2022-11-20 12:38:08,-25.1667,45.05,87.44,40,100,20.4
160,Grand-Lahou,CI,2022-11-20 12:38:08,5.1367,-5.0242,83.01,70,46,8.61
161,Hasaki,JP,2022-11-20 12:38:09,35.7333,140.8333,55.22,79,100,7.02
162,Port Lincoln,AU,2022-11-20 12:36:13,-34.7333,135.8667,55.17,58,96,22.55
163,Praia,CV,2022-11-20 12:38:09,14.9215,-23.5087,82.94,54,75,23.02
164,Port Augusta,AU,2022-11-20 12:38:10,-32.5,137.7667,60.01,54,98,16.6
165,Peruibe,BR,2022-11-20 12:38:10,-24.32,-46.9983,77.76,64,41,5.7
166,Ingham,US,2022-11-20 12:38:11,42.6,-84.3833,18.18,87,86,8.28
167,North Bend,US,2022-11-20 12:38:11,43.4065,-124.2243,37.85,81,0,8.05
168,Pisco,PE,2022-11-20 12:38:12,-13.7,-76.2167,62.65,88,100,4.61
169,Saint-Georges,GD,2022-11-20 12:38:12,12.0564,-61.7485,83.88,74,20,12.66
170,Halifax,CA,2022-11-20 12:37:38,44.6453,-63.5724,45.21,89,93,16.11
171,Oistins,BB,2022-11-20 12:38:13,13.0667,-59.5333,82.49,74,40,19.57
172,Bira,RU,2022-11-20 12:38:13,49.0,132.4667,15.19,90,24,3.65
173,Guerrero Negro,MX,2022-11-20 12:38:13,27.9769,-114.0611,56.43,53,0,1.9
174,Portland,US,2022-11-20 12:34:40,45.5234,-122.6762,36.09,66,0,11.01
175,Erzin,TR,2022-11-20 12:38:14,36.9559,36.2,70.45,47,8,2.24
176,Sakakah,SA,2022-11-20 12:38:14,29.9697,40.2064,72.97,33,0,9.24
177,La Ronge,CA,2022-11-20 12:39:15,55.1001,-105.2842,16.05,67,75,4.61
178,Port Moresby,PG,2022-11-20 12:39:15,-9.4431,147.1797,76.42,94,20,3.44
179,Muisne,EC,2022-11-20 12:29:51,0.6,-80.0333,72.93,85,100,9.66
